[0.012s][info][gc,heap] Heap region size: 4M
[0.041s][info][gc     ] Using G1
[0.041s][info][gc,heap,coops] Heap address: 0x0000000600000000, size: 8192 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[1.707s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[1.708s][info][gc,task      ] GC(0) Using 6 workers of 6 for evacuation
[1.734s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.1ms
[1.734s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 24.8ms
[1.734s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.8ms
[1.734s][info][gc,phases    ] GC(0)   Other: 0.8ms
[1.734s][info][gc,heap      ] GC(0) Eden regions: 102->0(94)
[1.736s][info][gc,heap      ] GC(0) Survivor regions: 0->8(13)
[1.736s][info][gc,heap      ] GC(0) Old regions: 0->0
[1.736s][info][gc,heap      ] GC(0) Humongous regions: 0->0
[1.737s][info][gc,metaspace ] GC(0) Metaspace: 16216K(16768K)->16216K(16768K) NonClass: 14724K(15104K)->14724K(15104K) Class: 1491K(1664K)->1491K(1664K)
[1.737s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 408M->31M(8192M) 29.080ms
[1.737s][info][gc,cpu       ] GC(0) User=0.08s Sys=0.11s Real=0.03s
[2.229s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2.229s][info][gc,task      ] GC(1) Using 6 workers of 6 for evacuation
[2.269s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[2.269s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 39.0ms
[2.269s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.8ms
[2.269s][info][gc,phases    ] GC(1)   Other: 0.2ms
[2.269s][info][gc,heap      ] GC(1) Eden regions: 94->0(95)
[2.269s][info][gc,heap      ] GC(1) Survivor regions: 8->7(13)
[2.269s][info][gc,heap      ] GC(1) Old regions: 0->8
[2.269s][info][gc,heap      ] GC(1) Humongous regions: 0->0
[2.269s][info][gc,metaspace ] GC(1) Metaspace: 16227K(16768K)->16227K(16768K) NonClass: 14735K(15104K)->14735K(15104K) Class: 1491K(1664K)->1491K(1664K)
[2.269s][info][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 407M->59M(8192M) 40.136ms
[2.269s][info][gc,cpu       ] GC(1) User=0.22s Sys=0.06s Real=0.04s
[2.662s][info][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2.662s][info][gc,task      ] GC(2) Using 6 workers of 6 for evacuation
[2.694s][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
[2.694s][info][gc,phases    ] GC(2)   Evacuate Collection Set: 31.1ms
[2.694s][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.6ms
[2.694s][info][gc,phases    ] GC(2)   Other: 0.2ms
[2.694s][info][gc,heap      ] GC(2) Eden regions: 95->0(89)
[2.694s][info][gc,heap      ] GC(2) Survivor regions: 7->13(13)
[2.694s][info][gc,heap      ] GC(2) Old regions: 8->8
[2.694s][info][gc,heap      ] GC(2) Humongous regions: 0->0
[2.694s][info][gc,metaspace ] GC(2) Metaspace: 16245K(16768K)->16245K(16768K) NonClass: 14754K(15104K)->14754K(15104K) Class: 1491K(1664K)->1491K(1664K)
[2.694s][info][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 439M->82M(8192M) 32.082ms
[2.694s][info][gc,cpu       ] GC(2) User=0.16s Sys=0.03s Real=0.03s
[2.988s][info][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2.989s][info][gc,task      ] GC(3) Using 6 workers of 6 for evacuation
[3.023s][info][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 0.0ms
[3.023s][info][gc,phases    ] GC(3)   Evacuate Collection Set: 33.7ms
[3.023s][info][gc,phases    ] GC(3)   Post Evacuate Collection Set: 0.5ms
