[0.008s][info][gc] Using G1
[0.018s][info][gc,init] Version: 17.0.12+7-adhoc..jdk17u (release)
[0.019s][info][gc,init] CPUs: 6 total, 6 available
[0.019s][info][gc,init] Memory: 15591M
[0.019s][info][gc,init] Large Page Support: Disabled
[0.019s][info][gc,init] NUMA Support: Disabled
[0.019s][info][gc,init] Compressed Oops: Enabled (32-bit)
[0.019s][info][gc,init] Heap Region Size: 1M
[0.019s][info][gc,init] Heap Min Capacity: 2G
[0.019s][info][gc,init] Heap Initial Capacity: 2G
[0.019s][info][gc,init] Heap Max Capacity: 2G
[0.019s][info][gc,init] Pre-touch: Disabled
[0.019s][info][gc,init] Parallel Workers: 6
[0.019s][info][gc,init] Concurrent Workers: 2
[0.019s][info][gc,init] Concurrent Refinement Workers: 6
[0.019s][info][gc,init] Periodic GC: Disabled
[0.026s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000018cda000000-0x0000018cdabc0000-0x0000018cdabc0000), size 12320768, SharedBaseAddress: 0x0000018cda000000, ArchiveRelocationMode: 1.
[0.027s][info][gc,metaspace] Compressed class space mapped at: 0x0000018cdb000000-0x0000018d1b000000, reserved size: 1073741824
[0.027s][info][gc,metaspace] Narrow klass base: 0x0000018cda000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.789s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.789s][info][gc,task     ] GC(0) Using 6 workers of 6 for evacuation
[0.799s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.3ms
[0.799s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.799s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 8.9ms
[0.799s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.6ms
[0.799s][info][gc,phases   ] GC(0)   Other: 0.4ms
[0.799s][info][gc,heap     ] GC(0) Eden regions: 102->0(89)
[0.799s][info][gc,heap     ] GC(0) Survivor regions: 0->13(13)
[0.799s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.799s][info][gc,heap     ] GC(0) Archive regions: 0->0
[0.799s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.799s][info][gc,metaspace] GC(0) Metaspace: 8377K(8576K)->8377K(8576K) NonClass: 7560K(7680K)->7560K(7680K) Class: 816K(896K)->816K(896K)
[0.799s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->12M(2048M) 10.471ms
[0.799s][info][gc,cpu      ] GC(0) User=0.06s Sys=0.03s Real=0.01s
[1.065s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[1.065s][info][gc,task     ] GC(1) Using 6 workers of 6 for evacuation
[1.077s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[1.077s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[1.077s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 10.7ms
[1.077s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.6ms
[1.077s][info][gc,phases   ] GC(1)   Other: 0.2ms
[1.077s][info][gc,heap     ] GC(1) Eden regions: 89->0(94)
[1.077s][info][gc,heap     ] GC(1) Survivor regions: 13->8(13)
[1.077s][info][gc,heap     ] GC(1) Old regions: 0->12
[1.077s][info][gc,heap     ] GC(1) Archive regions: 0->0
[1.077s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[1.077s][info][gc,metaspace] GC(1) Metaspace: 8388K(8576K)->8388K(8576K) NonClass: 7572K(7680K)->7572K(7680K) Class: 816K(896K)->816K(896K)
[1.077s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 101M->19M(2048M) 11.983ms
[1.077s][info][gc,cpu      ] GC(1) User=0.06s Sys=0.03s Real=0.02s
[1.325s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[1.325s][info][gc,task     ] GC(2) Using 6 workers of 6 for evacuation
[1.333s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[1.333s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[1.333s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 6.9ms
[1.333s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.4ms
[1.333s][info][gc,phases   ] GC(2)   Other: 0.2ms
[1.333s][info][gc,heap     ] GC(2) Eden regions: 94->0(124)
[1.333s][info][gc,heap     ] GC(2) Survivor regions: 8->8(13)
[1.333s][info][gc,heap     ] GC(2) Old regions: 12->19
[1.333s][info][gc,heap     ] GC(2) Archive regions: 0->0
[1.333s][info][gc,heap     ] GC(2) Humongous regions: 0->0
