JDK,Suite,GC,Test,Heap,Debit (%),Timp pauza (s),Timp total (s),Max Pause (s)
21,Renaissance,Serial,akka-uct,1G,37.99,1146.09,1848,0.86004
21,Renaissance,Serial,akka-uct,2G,44.22,1022.73,1833,0.88554
21,Renaissance,Serial,akka-uct,4G,51.81,792.79,1645,0.84724
21,Renaissance,Serial,akka-uct,8G,63.91,491.77,1362,1.05262
21,Renaissance,Serial,als,1G,96.56,24.29,706,0.14949
21,Renaissance,Serial,als,2G,96.58,22.39,653,0.16684
21,Renaissance,Serial,als,4G,96.42,23.54,657,0.28335
21,Renaissance,Serial,als,8G,95.71,28.2,657,0.28885
21,Renaissance,Serial,chi-square,1G,77.67,19.62,87,0.20562
21,Renaissance,Serial,chi-square,2G,76.17,19.84,83,0.25707
21,Renaissance,Serial,chi-square,4G,78.82,19.52,92,0.368
21,Renaissance,Serial,chi-square,8G,76.29,19.24,81,0.39788
21,Renaissance,Serial,dec-tree,1G,82.08,17.8,99,0.16772
21,Renaissance,Serial,dec-tree,2G,80.04,20.31,101,0.21341
21,Renaissance,Serial,dec-tree,4G,80.98,19.7,103,0.21954
21,Renaissance,Serial,dec-tree,8G,69.38,36.7,119,0.39721
21,Renaissance,Serial,dotty,1G,94.22,11.42,197,0.18059
21,Renaissance,Serial,dotty,2G,94.18,11.44,196,0.16998
21,Renaissance,Serial,dotty,4G,94.34,11.29,199,0.17013
21,Renaissance,Serial,dotty,8G,94.22,11.41,197,0.18133
21,Renaissance,Serial,finagle-chirper,1G,93.05,15.47,222,0.11185
21,Renaissance,Serial,finagle-chirper,2G,93.37,15.09,227,0.16238
21,Renaissance,Serial,finagle-chirper,4G,91.09,21.46,240,0.28991
21,Renaissance,Serial,finagle-chirper,8G,85.55,36.2,250,0.48468
21,Renaissance,Serial,finagle-http,1G,97.21,10.13,362,0.09391
21,Renaissance,Serial,finagle-http,2G,96.16,13.58,353,0.13522
21,Renaissance,Serial,finagle-http,4G,96.33,13.25,361,0.18453
21,Renaissance,Serial,finagle-http,8G,96.34,13.31,363,0.20911
21,Renaissance,Serial,fj-kmeans,1G,94.65,14.14,264,0.16101
21,Renaissance,Serial,fj-kmeans,2G,94.54,14.19,259,0.1623
21,Renaissance,Serial,fj-kmeans,4G,93.73,16.51,263,0.17949
